url_tail,timeFrom,timeTo
/deal/26146328,11:00,16:00
/deal/26146328,22:00,05:00
/deal/26146328,20:30,22:00
/deal/26146328,04:00,05:00
/deal/27203809,No timeFrom,No timeTo
/deal/27284733,12:00,17:00
/deal/27284733,17:00,23:30
/deal/27284733,23:30,06:00
/deal/27328486,No timeFrom,No timeTo
/deal/27436339,19:00,06:00
/deal/26956809,No timeFrom,No timeTo
/deal/26693641,19:00,00:00
/deal/26693641,00:00,06:00
/deal/26694095,19:00,00:00
/deal/26694095,00:00,06:00
/deal/26693288,19:00,00:00
/deal/26693288,00:00,06:00
/deal/26695628,19:00,00:00
/deal/26695628,00:00,06:00
/deal/26601840,13:00,19:00
/deal/26601840,19:00,00:00
/deal/26601840,00:00,06:00
/deal/26189955,11:00,16:00
/deal/26189955,17:00,22:00
/deal/27284770,12:00,17:00
/deal/27284770,17:00,23:30
/deal/27284770,23:30,06:00
/deal/27399418,11:00,16:00
/deal/27399418,17:00,22:00
/deal/26613849,No timeFrom,No timeTo
/deal/27750467,23:30,09:00
/deal/26065612,13:00,18:00
/deal/26065612,17:00,18:00
/deal/27203442,No timeFrom,No timeTo
/deal/27160080,19:00,07:00
/deal/27284789,12:00,17:00
/deal/27284789,17:00,23:30
/deal/27284789,23:30,06:00
/deal/27846214,12:00,17:00
/deal/27846214,17:00,23:00
/deal/27846214,23:30,06:00
/deal/26916990,11:00,14:00
/deal/26916990,17:00,20:00
/deal/26916630,10:30,20:00
/deal/26603394,13:00,19:00
/deal/26603394,19:00,00:00
/deal/26603394,00:00,06:00
/deal/26695533,19:00,00:00
/deal/26695533,00:00,06:00
/deal/26695573,19:00,00:00
/deal/26695573,00:00,06:00
/deal/26956785,No timeFrom,No timeTo
/deal/27401147,13:00,18:00
/deal/27401147,18:00,05:00
/deal/27284596,12:00,17:00
/deal/27284596,17:00,23:30
/deal/27284596,23:30,06:00
/deal/27033702,10:00,19:00
/deal/27033702,18:00,23:00
/deal/27033702,23:00,06:00
/deal/26208697,18:00,01:00
/deal/26280334,No timeFrom,No timeTo
/deal/27160952,No timeFrom,No timeTo
/deal/26692858,19:00,00:00
/deal/26692858,00:00,06:00
/deal/26693222,19:00,00:00
/deal/26693222,00:00,06:00
/deal/26694498,19:00,00:00
/deal/26694498,00:00,06:00
/deal/26694692,19:00,00:00
/deal/26694692,00:00,06:00
/deal/26694778,19:00,00:00
/deal/26694778,00:00,06:00
/deal/26601840,13:00,19:00
/deal/26601840,19:00,00:00
/deal/26601840,00:00,06:00
/deal/26695725,19:00,00:00
/deal/26695725,00:00,06:00
/deal/26695956,19:00,00:00
/deal/26695956,00:00,06:00
/deal/26603394,13:00,19:00
/deal/26603394,19:00,00:00
/deal/26603394,00:00,06:00
/deal/26695533,19:00,00:00
/deal/26695533,00:00,06:00
/deal/26695573,19:00,00:00
/deal/26695573,00:00,06:00
/deal/26191488,11:00,16:00
/deal/26191488,17:00,22:00
/deal/26609848,19:00,06:00
/deal/26207355,09:00,18:00
/deal/27203080,No timeFrom,No timeTo
/deal/27515388,13:00,03:00
/deal/26247260,12:00,18:00
/deal/26279217,No timeFrom,No timeTo
/deal/26280141,No timeFrom,No timeTo
/deal/26353145,19:00,06:00
/deal/27515138,13:00,03:00
/deal/27291226,12:00,18:00
/deal/27291226,05:00,06:00
/deal/26956829,No timeFrom,No timeTo
/deal/27892016,10:00,18:00
/deal/27892016,23:30,07:00
/deal/27892065,10:00,18:00
/deal/27892065,23:30,07:00
/deal/27892180,10:00,18:00
/deal/27892180,18:00,02:00
/deal/27892180,22:00,07:00
/deal/27892077,18:00,02:00
/deal/27892154,10:00,18:00
/deal/27892154,18:00,02:00
/deal/27892154,22:00,07:00
/deal/27892095,10:00,18:00
/deal/27892095,15:00,21:00
/deal/27892095,23:30,07:00
/deal/26694498,19:00,00:00
/deal/26694498,00:00,06:00
/deal/26694692,19:00,00:00
/deal/26694692,00:00,06:00
/deal/26694778,19:00,00:00
/deal/26694778,00:00,06:00
